,Age,Income,MonthlyCharge,Tenure,Outage_sec_perweek,Bandwidth_GB_Year,Email,Yearly_equip_failure,PaperlessBilling,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two Year,Area_Rural,Area_Suburban,Area_Urban,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed
9069,-0.970071930586431,0.11045702757896148,1.863326022595687,1.1906395488131079,0.1551753882869564,1.2488740563038512,0.3252089645289763,-0.6258635316811727,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
2603,-0.003787833659951896,-0.3848688477647332,-0.29552017652756857,-1.2487851229025315,-0.6920631252149856,-1.3416768280987996,1.316699710044148,0.9466579047036832,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
7738,0.14115478087901998,-0.7287803219886845,-0.3529269217907562,0.627313544155695,-0.08405176487567508,0.4021413816351502,-1.9882694416730908,-0.6258635316811727,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
1579,-0.4869298821231915,-1.0893784954586843,1.630901967685156,-1.2391687486495897,-1.2319643436841619,-1.153769575082729,0.6557058797007002,-0.6258635316811727,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
5058,-1.211642954818051,-0.5437070462665649,0.8147138411795543,1.4044620848964056,-0.7867564295916175,1.3890409735250804,0.3252089645289763,-0.6258635316811727,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
5753,1.7355235408077105,-0.46647813391885806,-0.5857117279449975,0.9526771494188624,-0.68882676114021,0.7222940926064064,0.3252089645289763,-0.6258635316811727,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
3548,-0.9217577257401072,-0.7707860925011694,-0.9935206204951417,-1.0357635174556103,0.4360747193414967,-0.8670738649278887,-0.0052879506427475865,-0.6258635316811727,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
409,0.8658678535738794,0.5685912171269882,1.921957542899898,-0.9770664239968856,-1.1953779508064328,-0.9022436869004397,0.986202794872424,-0.6258635316811727,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
4097,0.8175536487275554,0.02965168470682726,-0.8193954430145611,-0.608301413577748,1.5035506476372986,-0.7469900391850521,-1.657772526501367,2.519179341088539,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
6461,1.349009902037119,-0.5332096818685905,0.6402672921178489,1.0436057327764445,-0.6937832942211921,1.1711167609191795,-0.6662817809861953,0.9466579047036832,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
5601,0.3344116002643158,0.23914433866211882,1.456285627304756,1.0011387853976836,1.1559884669146085,1.1366460585136415,0.3252089645289763,0.9466579047036832,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
5231,0.28609739541799184,-0.9633427432283921,-0.7601885511411577,0.9698087751140311,0.27972046325674343,1.0222253046330654,0.3252089645289763,2.519179341088539,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
3777,-0.9217577257401072,0.3801220168930278,-0.7026444078831412,-0.7693135076629141,-1.5157932223590063,-0.606693899987464,-0.3357848658144715,-0.6258635316811727,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2726,0.5276684196496116,-0.03390948258961994,1.9214477031878996,-0.9190759640534623,0.6467492176324018,-0.6289753452501138,-0.0052879506427475865,0.9466579047036832,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
477,-0.3419872675842196,-0.24543770533124892,-1.109587460187905,-1.2074734060603431,-0.32186305529659737,-1.2898630190203757,-0.0052879506427475865,-0.6258635316811727,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
